v0.6.1,,,,,,,,,,
CÓDIGO,UNIDAD,"MATERIAL BÁSICO","MATERIAL 1","MATERIAL 2","MATERIAL 3",Masa,Masa,Masa,"TOTAL KG","FACTOR DE CALCULO HCE"
P01AA010,m3,"Tierra vegetal","TIERRA CRUDA",,,2050,,,2050,0
P01AA011,t,"Tierra vegetal","TIERRA CRUDA",,,1000,,,1000,0
P01AA015,m3,Arcilla,"ARCILLA O LIMO",,,1700,,,1700,0
P01AA020,m3,"Arena de río 0/6 mm","ARENA Y GRAVA NATURAL",,,1700,,,1700,0
P01AA030,t,"Arena de río 0/6 mm","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01AA031,m3,"Arena de río 0/6 sin transporte","ARENA Y GRAVA NATURAL",,,1700,,,1700,0
P01AA032,t,"Arena de río 0/6 sin transporte","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01AA033,m3,"Arena 0/2 mm revocos","ARENA Y GRAVA NATURAL",,,1700,,,1700,0
P01AA034,t,"Arena 0/2 mm revocos","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01AA035,m3,"Arena de río 2/6 mm","ARENA Y GRAVA NATURAL",,,1700,,,1700,0
P01AA036,t,"Arena de río 2/6 mm","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01AA037,m3,"A. subase parquet y filtros 1/5 mm","ARENA Y GRAVA NATURAL",,,1700,,,1700,0
P01AA038,t,"A. subase parquet y filtros 1/5 mm","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01AA040,m3,"Arena de río fina 0/2 mm","ARENA Y GRAVA NATURAL",,,1700,,,1700,0
P01AA050,t,"Arena de río fina 0/2 mm","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01AA060,m3,"Arena de miga cribada","ARENA Y GRAVA NATURAL",,,1700,,,1700,0
P01AA061,t,"Arena de miga cribada","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01AA065,m3,"Arena de miga sin cribar","ARENA Y GRAVA NATURAL",,,1700,,,1700,0
P01AA066,t,"Arena de miga sin cribar","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01AA070,m3,"Arena blanca nº 2","ARENA Y GRAVA NATURAL",,,1700,,,1700,0
P01AA071,t,"Arena blanca nº 2","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01AA080,m3,"Arena de mina 0/5 mm","ARENA Y GRAVA NATURAL",,,1700,,,1700,0
P01AA081,t,"Arena de mina 0/5 mm","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01AA082,t,"Arena 0/3 triturada lavada","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AA083,t,"Arena 0/5 triturada lavada","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AA084,kg,"Arenilla de polvo de mármol","ARENA Y GRAVA MACHAQUEO",,,1,,,1,0
P01AA085,m3,"Arena triturada lavada 0/3 mm","ARENA Y GRAVA MACHAQUEO",,,1700,,,1700,0
P01AA086,t,"Arena triturada lavada 0/3 mm","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
