v.0.53,,,
TIPO,SUBTIPO,"CODIGO OPENDAP","FACTOR EMISIÓN ESTIMADO"
AISLANTES,"EPS POLIESTIRENO EXPANDIDO",B01-B01,"3,3558"
AISLANTES,"EEPS POLIESTIRENO EXPANDIDO ELASTIFICADO",B01-B02,"3,3887"
AISLANTES,"XPS POLIESTIRENO EXTRUIDO",B01-B03,"9,788328"
AISLANTES,"PUR ESPUMA DE POLIURETANO",B01-B05,"4,9368"
AISLANTES,"PUR PROYECCION CON CO2 CELDA CERRADA",B01-B06,"4,9852"
AISLANTES,"PUR PLANCHA CON HFC O PENTANO",B01-B07,"4,9852"
AISLANTES,"PUR INYECCION EN TABIQUERIA CON DIOXIDO",B01-B09,"4,9368"
AISLANTES,"PIR ESPUMA DE POLIISOCIANURATO",B01-B10,"4,9062"
AISLANTES,"ESPUMA DE POLIETILENO RETICULADO",B01-B11,"2,1424"
AISLANTES,"ESPUMA DE POLIETILENO NO RETICULADO",B01-B12,"2,1424"
AISLANTES,"LANA DE ROCA",B01-B13,"1,1424"
AISLANTES,"ARCILLA EXPANDIDA",B01-B14,"0,2448"
AISLANTES,"EPB PANEL DE PERLITA EXPANDIDA",B01-B15,"0,1428"
AISLANTES,"CG PANEL VIDRIO CELULAR",B01-B16,"1,82058409090909"
AISLANTES,"GUATA O FIELTRO DE POLIESTER",B01-B17,"3,4424"
AISLANTES,"CORCHO EXPANDIDO",B01-B18,"0,1957"
AISLANTES,"CORCHO NEGRO",B01-B19,"0,1938"
AISLANTES,"FIBRA CELULOSA",B01-B20,"0,3779814"
AISLANTES,CAÑAMO,B01-B21,"1,751"
AISLANTES,"FIBRA DE LINO",B01-B22,"1,734"
AISLANTES,"FIBRA DE MADERA",B01-B23,"0,9996"
AISLANTES,CELULOSA,B01-B24,"0,3779814"
AISLANTES,ALGODON,B01-B25,"5,6406"
AISLANTES,"LANA DE OVEJA",B01-B26,"5,6406"
"PRODUCTOS PREFABRICADOS CON MATERIALES AISLANTES","BOVEDILLAS Y CASETONES DE EPS MECANIZADO",B02-B27,"3,37722"
BITUMINOSOS,ASFALTO,C01-C01,"0,012669"
BITUMINOSOS,"ASFALTO ARENOSO",C01-C02,"0,012792"
BITUMINOSOS,BETUN,C01-C03,"0,51"
BITUMINOSOS,"BETUN FIELTRO O LAMINA",C01-C04,"0,515"
BITUMINOSOS,OXIASFALTO,C01-C05,"0,2140572"
BITUMINOSOS,"ADHESIVO BITUMINOSO",C01-C06,"0,51"
CAUCHOS,"CAUCHO NATURAL",D01-D01,"2,907"
CAUCHOS,BUTADIENO,D01-D02,"1,185852"
CAUCHOS,"CAUCHO BUTILO",D01-D03,"2,9355"
CAUCHOS,"CAUCHO CELULAR",D01-D04,"2,9355"
CAUCHOS,"CAUCHO RIGIDO",D01-D05,"2,9355"
CAUCHOS,NEOPRENO,D01-D06,"2,964"
CAUCHOS,POLIISOBUTILENO,D01-D07,"2,964"
CAUCHOS,POLISULFURO,D01-D08,"1,585998"
"PIEZAS CERÁMICAS","PLAQUETA O BALDOSA CERAMICA",F01-F03,"0,306"
"PIEZAS CERÁMICAS","PLAQUETA O BALDOSA DE GRES",F01-F04,"0,3825"
"PIEZAS CERÁMICAS","AZULEJO CERAMICO",F01-F05,"0,306"
"PIEZAS CERÁMICAS","TEJA DE ARCILLA COCIDA",F01-F06,"0,15402"
"PIEZAS CERÁMICAS","TEJA CERAMICA",F01-F07,"0,1788595"
"PIEZAS CERÁMICAS","GRES CALCAREO",F01-F08,"0,363075"
"PIEZAS CERÁMICAS","GRES CUARZOSO",F01-F09,"0,41715"
"PIEZAS CERÁMICAS",GRES,F01-F10,"0,3700275"
"PIEZAS CERÁMICAS","BLOQUE CERAMICO DE ARCILLA ALIGERADA",F01-F11,"0,15982166666667"
"PIEZAS CERÁMICAS","BOVEDILLA O CASETON CERAMICO",F01-F12,"0,0878141025641"
"PIEZAS CERÁMICAS","LADRILLO HUECO LH",F01-F13,"0,13523371794872"
"PIEZAS CERÁMICAS","LADRILLO HUECO GRAN FORMATO GF",F01-F14,"0,11415833333333"
"PIEZAS CERÁMICAS","LADRILLO PERFORADO LP",F01-F15,"0,13699"
"PIEZAS CERÁMICAS","LADRILLO MACIZO LM",F01-F16,"0,40394487179487"
"PIEZAS CERÁMICAS","TABLERO CERAMICO",F01-F17,"0,11415833333333"
"PIEZAS CERÁMICAS","GRES PRENSADO",F01-F18,0
"PIEZAS CERÁMICAS","GRES ESMALTADO",F01-F19,0
"PIEZAS CERÁMICAS","GRES PORCELANICO",F01-F20,0
"PIEZAS CERÁMICAS","BARRO COCIDO",F01-F21,0
"PIEZAS CERÁMICAS","BALDOSIN CATALAN",F01-F22,0
"PIEZAS CERÁMICAS","GRES RUSTICO",F01-F23,0
"PIEZAS CERÁMICAS",TERRAZO,F01-F24,"0,306"
"PIEZAS CERÁMICAS","LADRILLO CERAMICO VISTO",F01-F25,"0,13566"
"PIEZAS CERÁMICAS","LADRILLO CERAMICO PINTADO",F01-F26,"0,13699"
"PIEZAS CERÁMICAS","LADRILLO GRES",F01-F27,0
"PIEZAS CERÁMICAS","LADRILLO REFRACTARIO",F01-F28,0
"PIEZAS CERÁMICAS","ALBARDILLA CERAMICA",F01-F29,"0,306"
"PIEZAS CERÁMICAS","ADOQUIN CERAMICO",F01-F30,"0,306"
FÁBRICAS,"BLOQUE CEMENTO CON MORTERO AISLANTE",G01-G15,"0,17914076923077"
FÁBRICAS,"BLOQUE CEMENTO CON MORTERO CONVENCIONAL",G01-G16,"0,205485"
FÁBRICAS,"LADRILLO DE HORMIGON ARIDOS DENSOS AD PERFORADO",G01-G17,"0,13287"
FÁBRICAS,"LADRILLO DE HORMIGON ARIDOS DENSOS AD MACIZO",G01-G18,"0,13287"
FÁBRICAS,"LADRILLO DE HORMIGON ARIDOS LIGEROS AL PERFORADO",G01-G19,"0,13287"
FÁBRICAS,"BLOQUE HORMIGON ALIGERADO PERFORADO",G01-G20,"0,08976"
FÁBRICAS,"BLOQUE HORMIGON ALIGERADO MACIZO",G01-G21,"0,09064"
FÁBRICAS,"BLOQUE HORMIGON ARIDOS DENSOS",G01-G26,"0,09064"
FÁBRICAS,"BLOQUE DE PICON DE CAMARA SIMPLE",G01-G27,"0,09064"
FÁBRICAS,"BLOQUE DE PICON",G01-G33,"0,09064"
HORMIGÓN,"HORMIGON EN MASA",L01-L02,"0,13158"
HORMIGÓN,"HORMIGON CON ARIDOS LIGEROS",L01-L03,"0,13287"
HORMIGÓN,"HORMIGON CONVENCIONAL",L01-L04,"0,13287"
HORMIGÓN,"HORMIGON CON ARCILLA EXPANDIDA SIN OTROS ARIDOS",L01-L05,"0,13158"
HORMIGÓN,"HORMIGON CON ARCILLA EXPANDIDA COMO ARIDO PRINCIPAL",L01-L06,"0,13287"
HORMIGÓN,"HORMIGON CON OTROS ARIDOS LIGEROS",L01-L07,"0,13287"
HORMIGÓN,"HORMIGON CELULAR",L01-L08,"0,13416"
HORMIGÓN,"HORMIGON POLIMERO",L01-L09,"0,13416"
"PIEZA DE HORMIGÓN","BOVEDILLA O CASETON DE HORMIGON CONVENCIONAL",L02-L09,"0,13158"
"PIEZA DE HORMIGÓN","BOVEDILLA O CASETON DE HORMIGON DE ARIDOS ALIGERADO",L02-L10,"0,13287"
"PIEZA DE HORMIGÓN","BLOQUE DE HORMIGON CONVENCIONAL",L02-L11,"0,13158"
"PIEZA DE HORMIGÓN","BLOQUE DE HORMIGON ALIGERADO MACIZO",L02-L12,"0,13158"
"PIEZA DE HORMIGÓN","BLOQUE DE HORMIGON ALIGERADO HUECO",L02-L13,"0,13158"
"PIEZA DE HORMIGÓN","BLOQUE DE PICON",L02-L14,"0,13287"
"PIEZA DE HORMIGÓN","TEJA HORMIGON",L02-L15,"0,2115243"
MORTERO,"MORTERO DE CAL",M01-M01,"0,2142"
MORTERO,"MORTERO DE CEMENTO O CAL",M01-M02,"0,2184"
MORTERO,"MORTERO DE ARIDOS LIGEROS",M01-M03,"0,4812448"
MORTERO,"MORTERO MIXTO O MORTERO COLA",M01-M04,"1,53"
MORTERO,"MORTERO DE YESO",M01-M05,"0,3978"
ENLUCIDO,"ENLUCIDO DE YESO",M02-M06,"0,3978"
"PRODUCTOS DE YESO","PLACA DE YESO O ESCAYOLA",M04-M10,"0,4056"
"PRODUCTOS DE YESO","PLACA DE YESO LAMINADO",M04-M11,"0,4056"
"PRODUCTOS DE YESO","PLACA DE YESO ARMADO CON FIBRAS MINERALES",M04-M12,"0,4056"
AGLOMERANTES,"CEMENTO GRIS",M05-M13,"0,77871"
AGLOMERANTES,"CEMENTO BLANCO",M05-M14,"0,78642"
AGLOMERANTES,"YESO NEGRO",M05-M15,"0,051"
AGLOMERANTES,"YESO BLANCO",M05-M16,"0,0515"
AGLOMERANTES,ESCAYOLA,M05-M17,"0,2184"
AGLOMERANTES,"CAL HIDRATADA",M05-M18,"0,2142"
AGLOMERANTES,"CAL VIVA",M05-M19,"0,2142"
MADERAS,"MADERA CONIFERAS DE PESO MEDIO",N01-N01,"1,122"
MADERAS,"MADERA CONIFERA LIGERA",N01-N02,"1,122"
